Date,Price,Open,High,Low,Vol.,Change %
2017-10-01,"23,377.24","22,423.47","23,485.25","22,416.00",7.30B,4.34%
2017-11-01,"24,272.35","23,442.90","24,327.82","23,242.75",7.34B,3.83%
2017-12-01,"24,719.22","24,305.40","24,876.07","23,921.90",6.59B,1.84%
2018-01-01,"26,149.39","24,809.35","26,616.71","24,741.70",9.12B,5.79%
2018-02-01,"25,029.20","26,083.04","26,306.70","23,360.29",9.45B,-4.28%
2018-03-01,"24,103.11","25,024.04","25,449.15","23,509.06",8.87B,-3.70%
2018-04-01,"24,163.15","24,076.60","24,858.97","23,344.52",8.06B,0.25%
2018-05-01,"24,415.84","24,117.29","25,086.49","23,531.31",7.28B,1.05%
2018-06-01,"24,271.41","24,542.09","25,402.83","23,997.21",7.41B,-0.59%
2018-07-01,"25,415.19","24,161.53","25,587.24","24,077.56",5.41B,4.71%
2018-08-01,"25,964.82","25,461.63","26,167.94","24,965.77",5.64B,2.16%
2018-09-01,"26,458.31","25,916.07","26,769.16","25,754.32",5.26B,1.90%
2018-10-01,"25,115.76","26,598.36","26,951.81","24,122.23",8.37B,-5.07%
2018-11-01,"25,538.46","25,142.08","26,277.82","24,268.74",7.23B,1.68%
2018-12-01,"23,327.46","25,779.57","25,980.21","21,712.53",8.10B,-8.66%
2019-01-01,"24,999.67","23,058.61","25,109.62","22,638.41",7.19B,7.17%
2019-02-01,"25,916.00","25,025.31","26,241.42","24,883.04",5.43B,3.67%
2019-03-01,"25,928.68","26,019.67","26,155.98","25,208.00",6.63B,0.05%
2019-04-01,"26,592.91","26,075.10","26,695.96","26,062.59",5.85B,2.56%
2019-05-01,"24,815.04","26,639.06","26,689.39","24,809.51",6.36B,-6.69%
2019-06-01,"26,599.96","24,830.16","26,907.37","24,680.57",5.54B,7.19%
2019-07-01,"26,864.27","26,805.86","27,398.68","26,616.21",5.27B,0.99%
2019-08-01,"26,403.28","26,879.86","27,175.59","25,339.60",6.24B,-1.72%
2019-09-01,"26,916.83","26,198.26","27,306.73","25,978.22",5.09B,1.95%
2019-10-01,"27,046.23","26,962.54","27,204.36","25,743.46",5.72B,0.48%
2019-11-01,"28,051.41","27,142.95","28,174.97","27,142.95",4.98B,3.72%
2019-12-01,"28,538.44","28,109.74","28,701.66","27,325.13",5.14B,1.74%
